Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std,FitSeconds_total,FitSeconds_mean,PredictSeconds_total,source_stage,source_priority,source_variant_file,variant_scope
G1_thiram_molar_grade,Thiram Positive Molar Grade,RamanNet-Lite,p1,0.9865091021840996,0.0030957940608325,0.98589000964287,0.0033341522185387,0.986141001174398,0.0034825449127603,33.45789720118046,6.691579440236092,0.0257169380784034,augmentation_no_aug,5,cv_results_summary_p1.csv,p1
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0.978530723170006,0.016690290032663,0.978221678502364,0.0169506693687021,0.9784123605402232,0.0167125682577772,112.41542423516512,22.483084847033023,0.0415984094142913,augmentation_no_aug,5,cv_results_summary_p1.csv,p1
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,p1,0.9777926289195988,0.0100390336445873,0.9778166677998704,0.009899315548501,0.978531451849677,0.0098801104088477,78.54794657230377,15.709589314460754,0.2566872015595436,augmentation_no_aug,5,cv_results_summary_p1.csv,p1
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,0.9287708027839132,0.0340959612701545,0.9270821794375764,0.0367045485042307,0.9274721080446272,0.0349985904672875,136.9269406720996,27.38538813441992,0.1533286049962043,augmentation_no_aug,5,cv_results_summary_p1.csv,p1
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,p1,0.8886054360896833,0.0185530358857249,0.8842184798960933,0.0199101058723414,0.8891637918379331,0.018151074942629,119.2234805598855,23.8446961119771,0.2331519573926925,augmentation_no_aug,5,cv_results_summary_p1.csv,p1
G1_thiram_molar_grade,Thiram Positive Molar Grade,RamanNet-Lite,raw,0.8777269502794528,0.0188160797365589,0.8720251550693637,0.019329239391566,0.8721909864944216,0.0210317017309147,95.53703387081624,19.107406774163245,0.2535298019647598,augmentation_no_aug,5,cv_results_summary_raw.csv,raw
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,raw,0.7700309062595617,0.031519917485968,0.7726265440807288,0.0312073530393726,0.77375917498532,0.0296823639202786,63.61166097223759,12.722332194447516,0.1072250604629516,augmentation_no_aug,5,cv_results_summary_raw.csv,raw
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,raw,0.7586632531268297,0.0503366616365224,0.762904722672725,0.0502626621750651,0.7587777084556665,0.0487783104660699,66.5049185603857,13.30098371207714,0.0358098521828651,augmentation_no_aug,5,cv_results_summary_raw.csv,raw
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,0.7360704715038984,0.0376516285340838,0.7409839090317691,0.0406073415765399,0.7385026423957722,0.0359752621333217,77.22594027966261,15.445188055932524,0.3350214287638664,augmentation_no_aug,5,cv_results_summary_raw.csv,raw
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,raw,0.7115611611176034,0.1064851128049989,0.7060059304264231,0.1093257399350083,0.7091579198473282,0.1059749208817556,51.720952324569225,10.344190464913844,0.0940314456820488,augmentation_no_aug,5,cv_results_summary_raw.csv,raw
